zip_code,city,state
10875,Mercedes-Benz Vertrieb NFZ GmbH,01
10875,Mercedes-Benz. io GmbH,01
10875,LAB1886 GmbH,01
10875,Daimler Insurance Services GmbH,01
10875,Mercedes-Benz Versicherung AG,01
10875,Daimler Vorsorge und Versicherungsdienst GmbH,01
10875,Fünfte Vermögensverwaltungsgesellschaft Zeus mbH,01
10875,Daimler Brand und IP Management GmbH & Co.KG,01
10875,Mercedes-Benz Vertrieb PKW GmbH,01
11512,Versorgungswerk der Presse GmbH,01
22781,Yves Rocher GmbH Finanzbuchhaltung,01
50606,VPV Lebensversicherung-AG,01
70131,LBS Süd Landesbausparkasse Süd,01
70134,Generali Deutschland Versicherung AG,01
70135,Stuttgarter Lebensversicherung a.G,01
70136,UniCredit Bank AG,01
70137,HUK-Coburg,01
70138,DPV Direct GmbH,01
70139,Sparda Bank Baden-Württemberg eG,01
70140,Commerzbank AG,01
70141,Finanzamt Stuttgart 2,01
70143,Deutsche Post AG NL Renten Service,01
70144,Landesbank Baden-Württemberg,01
70145,Agentur für Arbeit Stuttgart,01
70146,Familienkasse Baden-Württemberg-Ost,01
70148,Postbank Niederlassung Stuttgart,01
70149,SüdFactoring GmbH,01
70150,SWR,01
70151,Allianz Lebensversicherungs-AG,01
70152,Allianz ONE-Business Solutions GmbH Verwaltungspost,01
70153,AOK - Die Gesundheitskasse Stuttgart,01
70154,Amtsgericht -Mahnabteilung-,01
70155,SüdLeasing GmbH,01
70158,Statistisches Landesamt,01
70161,Landeshauptstadt Stuttgart,01
70162,Motor Presse Stuttgart GmbH & Co. KG,01
70166,HALLESCHE Krankenversicherung a.G.,01
70167,EnBW Service GmbH,01
70168,Deutsche Postbank AG Niederlassung Stuttgart,01
70168,Deutsche Post AG SNL Rechnungswesen Querschnitt Stuttgart,01
70171,Hauptzollamt Stuttgart Zentralstellen,01
70320,Mercedes-Benz Bank AG,01
70322,Daimler AG,01
70323,Kodak AG,01
70324,Karl Pfisterer GmbH & Co. KG,01
70324,Württembergischer Gemeindeunfallversicherungsverband (GUV),01
70324,Kodak GmbH,01
70324,Unfallkasse Baden-Württemberg,01
70345,Alliance Healthcare Deutschland GmbH,01
70363,Staatliche Lotterie-Einnahme Werner Peters OHG,01
70365,SPARKASSEN-VERSICHERUNG,01
70366,Staatliche Lotterie-Einnahme Glöckle,01
70367,Glöckle Staatliche Lotterie-Einnahme,01
70369,BKK der Deutschen Post AG Bezirksverwaltung Stuttgart,01
70369,ACE Auto Club Europa e.V.,01
70369,Mahle GmbH,01
70369,PSD Bank Rhein-Neckar-Saar eG,01
70369,Deutsche Telekom AG Niederlassung 2 Stuttgart,01
70369,Gehe AG,01
70369,Deutsche Telekom AG Niederlassung 1 Stuttgart,01
70429,Deutsche Rentenversicherung Baden-Württemberg,01
70431,ADP Employer Services GmbH,01
70432,Wolff & Müller Holding GmbH & Co. KG Serviceeinheiten,01
70432,Volksbank Zuffenhausen eG,01
70432,Dürr Systems GmbH,01
70432,LTG Holding GmbH & Co.KG,01
70464,Robert Bosch GmbH,01
70465,Robert Bosch GmbH Renningen,01
70466,Flint Group Germany GmbH,01
70466,Bosch - Betriebskrankenkasse,01
70466,AKAD Akademikergesellschaft für Erwachsenenfortbildung mbH,01
70466,LEITZ ACCO Brands GmbH & Co. KG,01
70466,Coperion GmbH Stuttgart,01
70466,Bundesanstalt für Post- und Telekommunikation,01
70466,Hahn & Kolb Werkzeuge GmbH,01
70467,Postbeamtenkrankenkasse,01
70494,R + V Versicherung,01
70496,M+W Zander Produkts GmbH,01
70496,ERIKS Deutschland GmbH Regional Center Stuttgart,01
70496,S. Zimmermann GmbH,01
70496,ZIMA-S. Zimmermann GmbH,01
70537,ENBW Energie Baden-Württemberg AG Infrastruktur Standort Stuttgart,01
70538,Robert Bosch Power Tools GmbH,01
70539,DEKRA Automobil GmbH,01
70545,mobilcom-debitel AG,01
70546,Daimler AG,01
70547,S-Communication Service GmbH,01
70547,Deutsche Sparkassen Verlag GmbH,01
70547,Deutscher Sparkassen Verlag GmbH,01
70549,W. Kohlhammer GmbH,01
70550,Universität Stuttgart,01
